fileName;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;
Dienstleistung freihändig vergeben.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Dienstleistung im selektiven Verfahren vergeben.bpmn;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Dienstleistung nach Einladungsverfahren vergeben.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Einfache Anfrage beantworten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Einmalzulage auszahlen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;
Einsprache bekanntmachen - Baugesuch (6.1).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;false;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Einsprachen bearbeiten.bpmn;false;false;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Einzelzahlungsauftrag aufgeben.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Entscheid fällen - Baugesuch (7.7).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Entscheid herbeiführen - Baugesuch (7.4).bpmn;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Entscheid im Gesamtstadtrat sichten - Baugesuch (7.6).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
